tagger,corpus,tagset,config options,metric,min,max,mean,std
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0]",prediction_time,0.844459056854,1.62764596939,1.20740602016,0.231427453756
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0]",recall,0.269953051643,0.288877576992,0.278590609119,0.00536204512968
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0]",training_time,12.0038514137,15.7902019024,14.3215178728,1.11866385979
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2, 3]",accuracy,0.440004872701,0.45627525088,0.4477604043,0.0048920707284
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2, 3]",f1,0.214787933772,0.2322792994,0.224450274939,0.00534988095397
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2, 3]",oov,-1,-1,-1.0,0.0
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2, 3]",precision,0.207766564283,0.224392459687,0.217584272047,0.00522086943291
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2, 3]",prediction_time,0.749686002731,1.66866564751,1.15301134586,0.29651459966
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2, 3]",recall,0.222300469484,0.240740740741,0.231766143376,0.00553745898682
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2, 3]",training_time,11.6715407372,15.322302103,13.6323078632,1.13029765226
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2]",accuracy,0.45803386527,0.478691515704,0.467374725755,0.00573859502873
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2]",f1,0.231374786081,0.246870739869,0.237756252014,0.00515588651951
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2]",oov,-1,-1,-1.0,0.0
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2]",precision,0.225083240844,0.240579710145,0.231357958022,0.00503697642413
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2]",prediction_time,0.556022882462,1.57766866684,0.980946564674,0.332751242875
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2]",recall,0.237952559301,0.253499618223,0.244519777893,0.00531047980177
skMultinomialNB,oana-cs.xml,mte,"[0, 1, 2]",training_time,7.07344436646,12.6868753433,10.5660805702,1.58554936165
